Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20241113,,44.18,,,,freedom finance ,DEPOSIT
$$CASH_TX,,,,,,,,,20251024,,766.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20241113,,7495.72,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20241127,,15.02,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250114,,196.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250611,,140.0,,,,Freedom finance ,DEPOSIT
$$CASH_TX,,,,,,,,,20251017,,8.48,,,,,FEE
$$CASH_TX,,,,,,,,,20241130,,20.93,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20251021,,1042.0,,,,,WITHDRAWAL
$$CASH_TX,,,,,,,,,20251017,,424.17,,,,Freedom finance ,DEPOSIT
$$CASH_TX,,,,,,,,,20241127,,8.76,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250415,,55.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250706,,330.0,,,,Freedom finance ,DEPOSIT
$$CASH_TX,,,,,,,,,20250401,,1153.0,,,,Var. accounts,DEPOSIT
$$CASH_TX,,,,,,,,,20241113,,15.9,,,,freedom finance ,DEPOSIT
$$CASH_TX,,,,,,,,,20250114,,203.87,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250114,,196.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250913,,300.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20241127,,29.16,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250401,,21.58,,,,Var. accounts,DEPOSIT
$$CASH_TX,,,,,,,,,20241127,,7.14,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20251011,,31.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20241201,,209.81,,,,Binance,DEPOSIT
$$CASH_TX,,,,,,,,,20250930,,392.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20250809,,399.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20241206,,196.0,,,,freedom finance ,DEPOSIT
$$CASH_TX,,,,,,,,,20250813,,200.0,,,,,DEPOSIT
XLP,82.27,2026/01/22,16:00 EST,-0.170006,82.34,82.565,82.045,15750955,,,,,,,,
GC=F,4921.8,2026/01/23,06:30 EST,8.399902,4940.0,4970.0,4901.2,110975,,,,,,,,
PAXG-USD,4936.8813,2026/01/23,11:37 UTC,98.86328,4974.435,4976.1846,4921.957,467113760,20251017,4408.18,0.0218,0.1,,,Binance ,
PAXG-USD,4936.8813,2026/01/23,11:37 UTC,98.86328,4974.435,4976.1846,4921.957,467113760,20251017,4411.0,0.0081,0.1,,,Binance,
PAXG-USD,4936.8813,2026/01/23,11:37 UTC,98.86328,4974.435,4976.1846,4921.957,467113760,20251019,4244.77,0.1599,0.0,,,0.7,
PAXG-USD,4936.8813,2026/01/23,11:37 UTC,98.86328,4974.435,4976.1846,4921.957,467113760,20251020,4348.02,0.1867,0.3,,,,
IGLN.L,95.4425,2026/01/23,11:24 GMT,0.75499725,95.9475,96.02501,95.1075,451618,20251017,79.15,6.0,0.0,,,Freedom finance,
IGLN.L,95.4425,2026/01/23,11:24 GMT,0.75499725,95.9475,96.02501,95.1075,451618,20250702,64.8,6.0,2.5,,,Freedom finance,
IGLN.L,95.4425,2026/01/23,11:24 GMT,0.75499725,95.9475,96.02501,95.1075,451618,20251024,78.84,6.0,2.48,,,,
VGIT,59.74,2026/01/22,16:00 EST,-0.0299988,59.69,59.755,59.6714,2699884,20250611,58.96,6.0,0.0,,,,
VGIT,59.74,2026/01/22,16:00 EST,-0.0299988,59.69,59.755,59.6714,2699884,20251117,60.018,9.0,2.0,,,Freedom finance ,
VGEU.DE,46.88,2026/01/23,11:50 CET,-0.15499878,46.965,47.035,46.88,8010,20250930,42.93,10.0,2.2,,,Freedom finance ,
VGEU.DE,46.88,2026/01/23,11:50 CET,-0.15499878,46.965,47.035,46.88,8010,20250515,41.985,4.0,0.0,,,из-за крупных инвестиций в недвижимость, инвестиции в акции были снижены,
XCH-USD,4.241971,2026/01/23,11:37 UTC,-0.2434349,4.329393,4.3531184,4.229564,3146524,,,,,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250415,85054.0,5.8E-4,0.0,,,Binance Violetta,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250913,115788.03,4.3E-4,0.21,,,Binance,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250813,121541.52,8.2E-4,0.4,,,Binance ,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250401,83877.99,5.9E-4,0.0,,,Binance Oleksandr,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20241113,76350.01,6.5E-4,0.4,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20241201,96347.15,5.1E-4,0.86,,,Binance,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250604,105394.73,4.7E-4,0.5,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250111,94739.87,5.2E-4,0.74,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250301,84800.0,0.00139,0.1,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20241206,97983.09,5.1E-4,0.1,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250203,99283.31,5.0E-4,0.4,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250203,101808.0,4.9E-4,0.5,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20241113,60998.53,2.8E-4,0.0,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20241113,68828.01,7.1E-4,0.0,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250503,96399.7,0.00103,0.0,,,binance oleksandr,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250718,119221.02,7.0E-4,0.0,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250514,103516.84,4.8E-4,0.0,,,binance oleksandr,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20241201,96424.02,5.1E-4,0.82,,,Binance Violetta ,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250622,102720.0,4.8E-4,0.7,,,Binance  ,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20251011,111824.06,8.9E-4,0.5,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250301,84373.01,0.00118,0.1,,,,
BTC-USD,89176.95,2026/01/23,11:37 UTC,-648.91406,89460.195,89895.586,88806.55,36127752192,20250111,94739.87,5.2E-4,0.74,,,,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250818,4331.63,0.0012,0.0,,,Binance,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20251011,3803.0,0.021,0.2,,,,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250111,3274.87,0.01117,0.0,,,,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250401,1863.0,0.0214,0.0,,,Binance Oleksandr,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250818,4331.63,0.0172,0.0,,,Binance ,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250515,2631.86,0.0235,0.0,,,binance oleksandr,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250706,2513.39,0.0399,0.02,,,Oleksandr Binance ,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250415,1622.79,0.0308,0.0,,,Binance Violetta,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250210,2761.0,0.0144,0.5,,,,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250508,1941.9662,0.0515,0.0,,,binance oleksandr ,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250622,2284.93,0.0175,0.1,,,,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250203,2715.81,0.0147,0.1,,,,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250913,4737.87,0.0084,0.2,,,Binance,
ETH-USD,2941.4104,2026/01/23,11:37 UTC,-39.82251,2949.4175,2978.2656,2913.429,22060398592,20250604,2646.91,0.0151,0.1,,,,
BNB-USD,888.60736,2026/01/23,11:38 UTC,-4.307434,886.99945,891.77094,885.912,1912748288,,,,,,,,
QQQ,620.76,2026/01/22,16:00 EST,4.47998,622.39,622.39,617.78,41691684,,,,,,,,
SPLG,80.0,2025/10/30,16:00 EDT,-0.860001,80.45,80.69,79.98,13399651,20250303,69.84,3.0,2.0,,,,
SPLG,80.0,2025/10/30,16:00 EDT,-0.860001,80.45,80.69,79.98,13399651,20250401,63.858,3.0,0.0,,,,
SPLG,80.0,2025/10/30,16:00 EDT,-0.860001,80.45,80.69,79.98,13399651,20241219,69.568,2.0,0.0,,,,
SPLG,80.0,2025/10/30,16:00 EDT,-0.860001,80.45,80.69,79.98,13399651,20250113,67.718,2.0,2.15,,,,
SPLG,80.0,2025/10/30,16:00 EDT,-0.860001,80.45,80.69,79.98,13399651,20250203,70.33,3.0,2.0,,,,
SCHD,29.17,2026/01/22,16:00 EST,0.0200005,29.16,29.26,29.12,16111978,20250401,27.798,7.0,0.0,,,FF Violetta,
SCHD,29.17,2026/01/22,16:00 EST,0.0200005,29.16,29.26,29.12,16111978,20250113,26.988,8.0,2.15,,,FF Violetta,
SCHD,29.17,2026/01/22,16:00 EST,0.0200005,29.16,29.26,29.12,16111978,20250808,26.66,17.0,0.0,,,,
SCHD,29.17,2026/01/22,16:00 EST,0.0200005,29.16,29.26,29.12,16111978,20241113,28.25,26.0,2.02,,,FF Violetta,
BITO,12.39,2026/01/22,16:00 EST,-0.0999994,12.41,12.47,12.254,59170963,,,,,,,,
TON11419-USD,1.5371906,2026/01/23,11:37 UTC,-0.031568885,1.5398232,1.5420718,1.5261207,80674616,,,,,,,,
ETH,27.74,2026/01/22,16:00 EST,-0.870001,28.09,28.12,27.44,9545688,,,,,,,,
